repo,kind,name,type,type_source,vendoring,vendoring_source,total_bytes,total_lines,description_chars,first_commit_iso,last_commit_iso,commits_count,invocations,unique_sessions,last_invocation_iso,entry_path,upstream,commit,is_reference
coo-labs/coo-harness,skill,agentmail,api-service,declared,custom,declared,7331,285,344,2026-05-16T01:38:46+02:00,2026-05-16T01:38:46+02:00,1,0,0,,.claude/skills/agentmail/SKILL.md,,,false
coo-labs/coo-harness,skill,skill-creator,meta,declared,vendored,declared,33299,490,319,2026-05-16T01:38:46+02:00,2026-05-16T01:38:46+02:00,1,0,0,,.claude/skills/skill-creator/SKILL.md,,,false
coo-labs/coo-harness,skill,tagging-taxonomy,procedural,declared,custom,declared,12237,286,418,2026-05-16T01:38:46+02:00,2026-05-25T17:12:03+02:00,6,0,0,,.claude/skills/tagging-taxonomy/SKILL.md,,,false
coo-labs/coo-harness,skill,trace-timeline,procedural,declared,custom,declared,9177,175,880,2026-05-20T19:59:34+02:00,2026-05-25T12:28:00+02:00,3,0,0,,.claude/skills/trace-timeline/SKILL.md,,,false
coo-labs/coo-memory,agent,dispatching-parallel-agents,agent-orchestrator,declared,custom,declared,5375,143,185,2026-05-25T04:56:29+02:00,2026-05-25T04:56:29+02:00,1,0,0,,.claude/agents/dispatching-parallel-agents.md,,,false
coo-labs/coo-memory,agent,emancipatory-auditor,agent-auditor,declared,custom,declared,4483,61,348,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,2,0,0,,.claude/agents/emancipatory-auditor.md,,,false
coo-labs/coo-memory,agent,lineage-interpreter,agent-specialist,declared,custom,declared,9303,115,756,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,2,0,0,,.claude/agents/lineage-interpreter.md,,,false
coo-labs/coo-memory,agent,oss-launch-issue-curator,agent-specialist,declared,custom,declared,8467,129,709,2026-05-25T04:56:29+02:00,2026-05-25T04:56:29+02:00,1,0,0,,.claude/agents/oss-launch-issue-curator.md,,,false
coo-labs/coo-memory,agent,rationalization-discriminator,agent-reviewer,declared,custom,declared,7263,79,551,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,2,0,0,,.claude/agents/rationalization-discriminator.md,,,false
coo-labs/coo-memory,agent,research-investigator,agent-researcher,declared,custom,declared,3192,78,211,2026-05-25T04:56:29+02:00,2026-05-26T17:36:05+02:00,2,0,0,,.claude/agents/research-investigator.md,,,false
coo-labs/coo-memory,agent,safety-auditor,agent-auditor,declared,custom,declared,4325,52,309,2026-05-25T04:56:29+02:00,2026-05-25T04:56:29+02:00,1,0,0,,.claude/agents/safety-auditor.md,,,false
coo-labs/coo-memory,agent,session-closer,agent-specialist,declared,custom,declared,13350,245,465,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/agents/session-closer.md,,,false
coo-labs/coo-memory,agent,transcript-analyzer,agent-specialist,declared,custom,declared,23431,292,408,2026-05-25T04:56:29+02:00,2026-05-26T17:36:05+02:00,2,0,0,,.claude/agents/transcript-analyzer.md,,,false
coo-labs/coo-memory,skill,briefing,procedural,declared,custom,declared,10731,242,751,2026-05-30T18:03:09+02:00,2026-05-30T18:03:09+02:00,1,0,0,,.claude/skills/briefing/SKILL.md,,,false
coo-labs/coo-memory,skill,cf-workers-best-practices,reference,declared,vendored,declared,7368,135,359,2026-05-25T14:11:12+02:00,2026-05-25T14:11:12+02:00,1,0,0,,.claude/skills/cf-workers-best-practices/SKILL.md,https://github.com/cloudflare/skills,7c449def4e0c63daa27212d853094e4c8e37bbe8,false
coo-labs/coo-memory,skill,cf-wrangler,api-service,declared,vendored,declared,18637,930,336,2026-05-25T14:11:12+02:00,2026-05-25T14:11:12+02:00,1,0,0,,.claude/skills/cf-wrangler/SKILL.md,https://github.com/cloudflare/skills,7c449def4e0c63daa27212d853094e4c8e37bbe8,false
coo-labs/coo-memory,skill,chat-mode,role,declared,custom,declared,5563,97,582,2026-05-25T04:56:29+02:00,2026-05-30T09:34:12+02:00,3,0,0,,.claude/skills/chat-mode/SKILL.md,,,false
coo-labs/coo-memory,skill,commission-retrospective,procedural,declared,custom,declared,9676,211,620,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/skills/commission-retrospective/SKILL.md,,,false
coo-labs/coo-memory,skill,day-overview,procedural,declared,custom,declared,12243,296,493,2026-05-25T04:56:29+02:00,2026-05-30T09:34:12+02:00,4,0,0,,.claude/skills/day-overview/SKILL.md,,,false
coo-labs/coo-memory,skill,debug-mode,role,declared,custom,declared,10581,227,804,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,2,0,0,,.claude/skills/debug-mode/SKILL.md,,,false
coo-labs/coo-memory,skill,end-session,procedural,declared,custom,declared,6592,154,542,2026-05-25T04:56:29+02:00,2026-05-30T18:53:06+02:00,5,0,0,,.claude/skills/end-session/SKILL.md,,,false
coo-labs/coo-memory,skill,exec-mode,role,declared,custom,declared,4489,88,990,2026-05-25T04:56:29+02:00,2026-05-30T09:34:12+02:00,5,0,0,,.claude/skills/exec-mode/SKILL.md,,,false
coo-labs/coo-memory,skill,manage-project,api-service,declared,custom,declared,4219,86,527,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,6,0,0,,.claude/skills/manage-project/SKILL.md,,,false
coo-labs/coo-memory,skill,memo,procedural,declared,custom,declared,15391,431,655,2026-05-25T04:56:29+02:00,2026-05-30T09:34:12+02:00,4,0,0,,.claude/skills/memo/SKILL.md,,,false
coo-labs/coo-memory,skill,memo-audit,procedural,declared,custom,declared,11075,282,505,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/skills/memo-audit/SKILL.md,,,false
coo-labs/coo-memory,skill,memo-query,procedural,declared,custom,declared,7379,177,360,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/skills/memo-query/SKILL.md,,,false
coo-labs/coo-memory,skill,memo-search,procedural,declared,custom,declared,8265,195,669,2026-05-25T04:56:29+02:00,2026-05-30T09:34:12+02:00,4,0,0,,.claude/skills/memo-search/SKILL.md,,,false
coo-labs/coo-memory,skill,memo-sync,procedural,declared,custom,declared,10952,262,586,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/skills/memo-sync/SKILL.md,,,false
coo-labs/coo-memory,skill,peer-review,review,declared,custom,declared,18264,370,1412,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,5,0,0,,.claude/skills/peer-review/SKILL.md,,,false
coo-labs/coo-memory,skill,post-discussion,procedural,declared,custom,declared,12197,276,509,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/skills/post-discussion/SKILL.md,,,false
coo-labs/coo-memory,skill,postmerge-check,procedural,declared,custom,declared,7818,128,398,2026-05-25T04:56:29+02:00,2026-05-30T09:34:12+02:00,3,0,0,,.claude/skills/postmerge-check/SKILL.md,,,false
coo-labs/coo-memory,skill,quarto-docs,documentation,declared,custom,declared,12384,113,1060,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,2,0,0,,.claude/skills/quarto-docs/SKILL.md,,,false
coo-labs/coo-memory,skill,status-check,procedural,declared,custom,declared,5905,141,478,2026-05-25T04:56:29+02:00,2026-05-26T17:36:05+02:00,2,0,0,,.claude/skills/status-check/SKILL.md,,,false
coo-labs/coo-memory,skill,tag-milestone,procedural,declared,custom,declared,8580,259,404,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,2,0,0,,.claude/skills/tag-milestone/SKILL.md,,,false
coo-labs/coo-memory,skill,tool-creator,meta,declared,custom,declared,20822,462,705,2026-05-25T04:56:29+02:00,2026-05-27T01:24:24+02:00,3,0,0,,.claude/skills/tool-creator/SKILL.md,,,false
coo-labs/coo-memory,skill,upstream-feedback,reference,declared,custom,declared,3989,49,304,2026-05-25T04:56:29+02:00,2026-05-26T17:36:05+02:00,2,0,0,,.claude/skills/upstream-feedback/SKILL.md,,,false
coo-labs/skills,agent,dispatching-parallel-agents,agent-orchestrator,declared,vendored-customized,declared,5604,147,185,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,agents/dispatching-parallel-agents.md,https://github.com/obra/superpowers,9ccce3bf07a40e45259004a330409ba00970eff7,false
coo-labs/skills,agent,emancipatory-auditor,agent-auditor,declared,custom,declared,9001,156,348,2026-05-11T20:16:35+00:00,2026-05-12T07:06:21+02:00,2,0,0,,agents/reference/emancipatory-auditor.md,,,true
coo-labs/skills,agent,lineage-interpreter,agent-specialist,declared,custom,declared,9327,115,756,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,agents/lineage-interpreter.md,,,false
coo-labs/skills,agent,rationalization-discriminator,agent-reviewer,declared,custom,declared,7297,79,551,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,agents/rationalization-discriminator.md,,,false
coo-labs/skills,agent,research-investigator,agent-researcher,declared,custom,declared,3178,78,211,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,agents/research-investigator.md,,,false
coo-labs/skills,agent,safety-auditor,agent-auditor,declared,custom,declared,8853,127,309,2026-05-11T20:16:35+00:00,2026-05-12T07:06:21+02:00,2,0,0,,agents/reference/safety-auditor.md,,,true
coo-labs/skills,skill,adapt-skill,meta,declared,custom,declared,12390,298,521,2026-05-12T07:06:21+02:00,2026-05-30T19:31:35+02:00,3,0,0,,skills/adapt-skill/SKILL.md,,,false
coo-labs/skills,skill,briefing,procedural,declared,custom,declared,10731,242,751,2026-05-30T19:31:35+02:00,2026-05-30T19:31:35+02:00,1,0,0,,skills/reference/briefing/SKILL.md,,,true
coo-labs/skills,skill,canvas-ui,reference,declared,custom,declared,19215,184,896,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,skills/canvas-ui/SKILL.md,,,false
coo-labs/skills,skill,chat-mode,role,declared,custom,declared,9678,141,586,2026-05-11T23:41:03+02:00,2026-05-30T09:35:15+02:00,3,0,0,,skills/reference/chat-mode/SKILL.md,,,true
coo-labs/skills,skill,commission-retrospective,procedural,declared,custom,declared,19588,394,620,2026-05-12T05:36:05+02:00,2026-05-12T07:06:21+02:00,2,0,0,,skills/reference/commission-retrospective/SKILL.md,,,true
coo-labs/skills,skill,day-overview,procedural,declared,custom,declared,19677,451,493,2026-05-12T05:36:05+02:00,2026-05-30T09:35:15+02:00,3,0,0,,skills/reference/day-overview/SKILL.md,,,true
coo-labs/skills,skill,end-session,procedural,declared,custom,declared,15497,347,542,2026-05-12T05:36:05+02:00,2026-05-30T18:54:13+02:00,3,0,0,,skills/reference/end-session/SKILL.md,,,true
coo-labs/skills,skill,exec-mode,role,declared,custom,declared,9333,166,994,2026-05-11T23:41:03+02:00,2026-05-30T09:35:15+02:00,3,0,0,,skills/reference/exec-mode/SKILL.md,,,true
coo-labs/skills,skill,peer-review,review,declared,custom,declared,17842,357,1412,2026-05-11T23:09:35+02:00,2026-05-21T13:21:49+00:00,2,0,0,,skills/peer-review/SKILL.md,,,false
coo-labs/skills,skill,quarto-docs,documentation,declared,custom,declared,12086,113,762,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,skills/quarto-docs/SKILL.md,,,false
coo-labs/skills,skill,status-check,procedural,declared,custom,declared,8023,186,478,2026-05-12T05:36:05+02:00,2026-05-12T07:06:21+02:00,2,0,0,,skills/reference/status-check/SKILL.md,,,true
coo-labs/skills,skill,tldraw-docs,documentation,declared,custom,declared,11750,99,817,2026-05-11T20:16:35+00:00,2026-05-11T20:16:35+00:00,1,0,0,,skills/tldraw-docs/SKILL.md,,,false
coo-labs/skills,skill,tool-creator,meta,declared,custom,declared,31255,640,709,2026-05-12T05:36:05+02:00,2026-05-12T07:06:21+02:00,2,0,0,,skills/reference/tool-creator/SKILL.md,,,true
coo-labs/vade-canvas,skill,canvas-ui,reference,declared,custom,declared,19266,184,949,2026-05-09T08:23:21+02:00,2026-05-09T08:23:21+02:00,1,0,0,,.claude/skills/canvas-ui/SKILL.md,,,false
coo-labs/vade-canvas,skill,tldraw-docs,documentation,declared,custom,declared,11822,99,889,2026-05-01T09:30:29+00:00,2026-05-01T09:30:29+00:00,1,0,0,,.claude/skills/tldraw-docs/SKILL.md,,,false
